kodewil_susenaspre2022,total_cat,filled_susenas,filled_ski,empty_both,susenas_perc,ski_perc,sus_ski_rat,sus_ski_dev
1273,199,132,199,65,0.663316582914573,1,0.663316582914573,-0.336683417085427
1274,132,131,129,132,0.992424242424242,0.977272727272727,1.01550387596899,0.0151515151515151
1275,132,132,132,132,1,1,1,0
1276,132,131,132,132,0.992424242424242,1,0.992424242424242,-0.00757575757575757
1277,259,250,243,5,0.965250965250965,0.938223938223938,1.02880658436214,0.027027027027027
1278,260,252,251,4,0.969230769230769,0.965384615384615,1.00398406374502,0.00384615384615383
1301,246,209,233,18,0.849593495934959,0.947154471544715,0.896995708154507,-0.0975609756097561
1302,261,249,257,3,0.954022988505747,0.984674329501916,0.968871595330739,-0.0306513409961686
1303,256,202,248,8,0.7890625,0.96875,0.814516129032258,-0.1796875
1304,252,238,241,12,0.944444444444444,0.956349206349206,0.987551867219917,-0.011904761904762
1305,264,254,260,0,0.962121212121212,0.984848484848485,0.976923076923077,-0.0227272727272727
1306,263,261,261,1,0.992395437262357,0.992395437262357,1,0
1307,263,257,261,1,0.977186311787072,0.992395437262357,0.984674329501916,-0.0152091254752852
1308,260,208,257,4,0.8,0.988461538461539,0.809338521400778,-0.188461538461538
1309,261,232,259,3,0.888888888888889,0.992337164750958,0.895752895752896,-0.103448275862069
1310,262,250,250,2,0.954198473282443,0.954198473282443,1,0
1311,263,258,251,1,0.980988593155893,0.954372623574145,1.02788844621514,0.0266159695817489
1312,262,236,255,2,0.900763358778626,0.973282442748092,0.925490196078431,-0.0725190839694657
1371,227,205,185,37,0.903083700440529,0.814977973568282,1.10810810810811,0.0881057268722467
1372,132,132,129,132,1,0.977272727272727,1.02325581395349,0.0227272727272727
1373,263,261,254,1,0.992395437262357,0.965779467680608,1.02755905511811,0.0266159695817491
1374,132,131,131,132,0.992424242424242,0.992424242424242,1,0
1375,132,131,130,132,0.992424242424242,0.984848484848485,1.00769230769231,0.00757575757575757
1376,229,215,169,35,0.938864628820961,0.737991266375546,1.27218934911243,0.200873362445415
1377,256,243,219,8,0.94921875,0.85546875,1.10958904109589,0.09375
1401,253,236,225,11,0.932806324110672,0.889328063241107,1.04888888888889,0.0434782608695653
1402,257,245,247,7,0.953307392996109,0.961089494163424,0.991902834008097,-0.00778210116731515
1403,258,253,242,6,0.98062015503876,0.937984496124031,1.04545454545455,0.0426356589147287
1404,253,233,237,11,0.920948616600791,0.936758893280632,0.983122362869198,-0.0158102766798419
1405,256,250,242,8,0.9765625,0.9453125,1.03305785123967,0.03125
1406,258,252,241,6,0.976744186046512,0.934108527131783,1.04564315352697,0.0426356589147287
1407,256,239,243,8,0.93359375,0.94921875,0.983539094650206,-0.015625
1408,259,257,244,5,0.992277992277992,0.942084942084942,1.05327868852459,0.0501930501930502
1409,261,255,250,3,0.977011494252874,0.957854406130268,1.02,0.0191570881226054
1410,261,255,240,3,0.977011494252874,0.919540229885057,1.0625,0.0574712643678161
1471,231,207,190,33,0.896103896103896,0.822510822510823,1.08947368421053,0.0735930735930736
1473,254,250,228,10,0.984251968503937,0.897637795275591,1.09649122807018,0.0866141732283465
1501,262,198,258,2,0.755725190839695,0.984732824427481,0.767441860465116,-0.229007633587786
1502,258,234,244,6,0.906976744186047,0.945736434108527,0.959016393442623,-0.0387596899224807
1503,252,229,236,12,0.908730158730159,0.936507936507937,0.970338983050847,-0.0277777777777778
1504,256,229,245,8,0.89453125,0.95703125,0.93469387755102,-0.0625
1505,253,209,247,11,0.826086956521739,0.976284584980237,0.846153846153846,-0.150197628458498
1506,260,249,226,4,0.957692307692308,0.869230769230769,1.10176991150442,0.0884615384615385
1507,258,250,241,6,0.968992248062015,0.934108527131783,1.03734439834025,0.0348837209302325
1508,252,237,231,12,0.940476190476191,0.916666666666667,1.02597402597403,0.0238095238095238
1509,259,245,245,5,0.945945945945946,0.945945945945946,1,0
1571,132,132,130,132,1,0.984848484848485,1.01538461538462,0.0151515151515151
1572,264,258,243,0,0.977272727272727,0.920454545454545,1.06172839506173,0.0568181818181819
1601,261,257,256,3,0.984674329501916,0.980842911877395,1.00390625,0.00383141762452111
1602,256,243,241,8,0.94921875,0.94140625,1.00829875518672,0.0078125
1603,260,252,256,4,0.969230769230769,0.984615384615385,0.984375,-0.0153846153846154
1604,258,254,248,6,0.984496124031008,0.961240310077519,1.0241935483871,0.0232558139534883
1605,244,199,234,20,0.815573770491803,0.959016393442623,0.85042735042735,-0.14344262295082
1606,250,243,228,14,0.972,0.912,1.06578947368421,0.06
1607,260,245,255,4,0.942307692307692,0.980769230769231,0.96078431372549,-0.0384615384615384
1608,250,204,239,14,0.816,0.956,0.853556485355649,-0.14
1609,260,237,251,4,0.911538461538461,0.965384615384615,0.944223107569721,-0.0538461538461539
1610,263,252,258,1,0.958174904942966,0.980988593155893,0.976744186046512,-0.0228136882129277
1611,255,203,248,9,0.796078431372549,0.972549019607843,0.818548387096774,-0.176470588235294
1612,261,228,253,3,0.873563218390805,0.969348659003831,0.901185770750988,-0.0957854406130267
1613,247,217,233,17,0.878542510121458,0.94331983805668,0.931330472103004,-0.0647773279352227
1671,132,132,132,132,1,1,1,0
1672,255,242,245,9,0.949019607843137,0.96078431372549,0.987755102040816,-0.011764705882353
1673,260,252,256,4,0.969230769230769,0.984615384615385,0.984375,-0.0153846153846154
1674,257,251,235,7,0.976653696498054,0.914396887159533,1.06808510638298,0.0622568093385214
1701,260,256,248,4,0.984615384615385,0.953846153846154,1.03225806451613,0.0307692307692308
1702,261,253,251,3,0.969348659003831,0.961685823754789,1.00796812749004,0.0076628352490421
1703,258,247,234,6,0.957364341085271,0.906976744186047,1.05555555555556,0.0503875968992249
1704,245,203,233,19,0.828571428571429,0.951020408163265,0.871244635193133,-0.122448979591837
1705,249,199,232,15,0.799196787148594,0.931726907630522,0.857758620689655,-0.132530120481928
1706,254,237,218,10,0.933070866141732,0.858267716535433,1.08715596330275,0.0748031496062992
1707,259,238,251,5,0.918918918918919,0.969111969111969,0.948207171314741,-0.0501930501930501
1708,261,251,246,3,0.961685823754789,0.942528735632184,1.02032520325203,0.0191570881226054
1709,254,211,250,10,0.830708661417323,0.984251968503937,0.844,-0.153543307086614
1771,221,203,170,43,0.918552036199095,0.769230769230769,1.19411764705882,0.149321266968326
1801,248,208,235,16,0.838709677419355,0.94758064516129,0.885106382978723,-0.108870967741936
1802,261,245,256,3,0.938697318007663,0.980842911877395,0.95703125,-0.0421455938697317
1803,263,259,252,1,0.984790874524715,0.958174904942966,1.02777777777778,0.0266159695817491
1804,262,235,258,2,0.896946564885496,0.984732824427481,0.910852713178295,-0.0877862595419847
1805,262,236,259,2,0.900763358778626,0.988549618320611,0.911196911196911,-0.0877862595419848
1806,261,252,254,3,0.96551724137931,0.973180076628353,0.992125984251969,-0.0076628352490421
1807,253,206,238,11,0.814229249011858,0.940711462450593,0.865546218487395,-0.126482213438735
1808,255,241,229,9,0.945098039215686,0.898039215686275,1.05240174672489,0.0470588235294117
1809,261,200,260,3,0.766283524904215,0.996168582375479,0.769230769230769,-0.229885057471264
1810,262,258,256,2,0.984732824427481,0.977099236641221,1.0078125,0.00763358778625956
1811,242,203,230,22,0.838842975206612,0.950413223140496,0.882608695652174,-0.111570247933884
